year,efficiency_crs,efficiency_vrs,CO2,material_footprint,foreign_investment,government_debt,life_expectancy,income,mean_years_in_school,murder,income_share_20
1990,0.8877347619047619,0.9160290476190476,8.974,16.973809523809525,1.627666666666666,44.6390899047619,75.40476190476191,29.19904761904762,8.553333333333333,99.99597285714286,7.147369614512471
1991,0.8781534782608695,0.906374347826087,8.840913043478261,17.600434782608694,1.4729999999999992,44.698054391304346,75.42608695652174,28.63,8.508695652173913,99.99434115217392,7.00435817805383
1992,0.8768741666666666,0.9098691666666666,8.488458333333334,17.638333333333332,1.3188370833333334,44.53000754166666,75.44166666666666,28.11125,8.520833333333334,99.99071270833333,6.849751984126984
1993,0.8865525,0.92233875,8.407291666666666,17.284583333333334,1.3512166666666676,46.366606125,75.75,28.616666666666667,8.708333333333334,99.99080916666666,6.9571676587301585
1994,0.8764633333333334,0.9127908333333333,8.605,18.0025,1.7167083333333337,46.4956498625,75.94166666666666,29.548333333333332,8.895833333333334,99.99308229166667,7.005208333333333
1995,0.8458332,0.8863236,9.0528,19.214,2.4176800000000003,51.544038028,75.7,29.9356,9.484,99.99636573,7.221966666666667
1996,0.85441,0.8940691666666667,9.541291666666666,19.565833333333334,2.4337916666666675,52.1351534375,76.0125,30.945,9.766666666666667,99.9969378125,7.659027777777778
1997,0.8644992,0.9048636,9.33992,18.6536,3.1266800000000003,52.377385776,75.66799999999999,30.4896,9.916,99.99485999,7.752366666666666
1998,0.8465876923076923,0.8863853846153846,9.218961538461539,19.07076923076923,4.519896153846155,52.671043,75.70769230769231,30.36846153846154,9.980769230769232,99.99560553846153,7.7305769230769235
1999,0.8371307692307692,0.8824238461538462,8.755923076923077,19.254615384615384,7.097307692307691,50.894102076923076,75.98846153846154,30.951923076923077,10.092307692307692,99.99650550961539,7.7736217948717945
2000,0.8390357142857143,0.8832853571428572,8.57225,18.931785714285713,7.871597142857143,49.44975135714286,75.53214285714286,30.35892857142857,10.225,99.99627607142857,7.829404761904762
2001,0.8553517857142857,0.8991632142857143,8.667285714285715,18.984285714285715,5.4898025,47.32533789285714,75.80357142857143,30.91392857142857,10.367857142857142,99.9962375369898,7.840773809523809
2002,0.8599867857142857,0.9043864285714286,9.264892857142858,22.5875,5.882378571428571,47.21189890357143,76.29285714285714,34.74821428571428,10.582142857142857,99.99667498469388,8.004166666666666
2003,0.8548145161290323,0.9005403225806452,9.569032258064516,23.783548387096776,5.730709677419354,46.480224467741934,76.50967741935483,34.991290322580646,10.629032258064516,99.99687460829493,7.961290322580645
2004,0.8589948648648649,0.90308,9.097567567567568,24.521081081081082,5.315324324324324,43.74271209189189,76.41891891891892,34.22783783783784,10.932432432432432,99.99711961872588,7.806756756756757
2005,0.8476330555555556,0.8906205555555555,9.079444444444444,26.123055555555556,7.504777777777778,42.93634272833334,76.86111111111111,35.88944444444444,11.063888888888888,99.99728548875662,7.749074074074074
2006,0.8356735897435897,0.8859494871794872,8.802564102564103,26.583076923076923,18.033410256410257,40.82345084102564,77.06666666666666,36.01076923076923,11.084615384615384,99.99756929273504,7.7645299145299145
2007,0.82455175,0.880308,8.7855,27.72625,18.892175,38.44658432,77.2325,37.04175,11.1675,99.99774351666666,7.760208333333334
2008,0.8301609523809523,0.8937423809523809,8.27547619047619,25.923571428571428,11.83497619047619,43.009528588095236,77.0904761904762,35.60285714285714,11.145238095238096,99.99778309523809,7.695238095238095
2009,0.8535235555555556,0.9263975555555556,7.316888888888889,22.653111111111112,10.479148888888888,50.52618665111111,77.75555555555556,32.82533333333333,10.964444444444444,99.99821423333333,7.614962962962963
2010,0.8482077272727273,0.9318172727272728,7.685681818181818,23.1225,9.944340909090908,54.10429818181818,78.07727272727273,33.94045454545454,11.177272727272728,99.99821079545454,7.642424242424243
2011,0.8405709523809524,0.9200045238095238,7.7473809523809525,24.47142857142857,9.735935714285715,56.86293816904762,78.39761904761905,35.521904761904764,11.32857142857143,99.99827348809524,7.637103174603174
2012,0.8453553488372093,0.923883023255814,7.523255813953488,24.20953488372093,11.56573,59.25695772093023,78.54186046511627,35.08976744186047,11.372093023255815,99.99842132558139,7.505038759689922
2013,0.8602109302325581,0.9371423255813953,7.323255813953488,24.655116279069766,5.583488372093023,61.424241813953486,78.83023255813954,35.41046511627907,11.46046511627907,99.99851760465117,7.476162790697675
2014,0.8628243589743589,0.9418105128205129,7.124358974358975,25.10153846153846,8.813897435897436,59.88283346153846,78.83846153846154,35.11076923076923,11.51025641025641,99.9985772051282,7.553846153846154
2015,0.8715712121212121,0.9462669696969697,7.1463636363636365,25.634242424242423,7.969575757575757,58.39622060606061,79.03333333333333,36.53060606060606,11.66969696969697,99.99851566666666,7.621212121212121
2016,0.8659683333333333,0.9480175,5.613333333333333,19.86,5.2212499999999995,61.5917665,77.00833333333333,28.55,11.458333333333334,99.99831508333334,7.95
